id,created_at,Animal,Lesson,S_Length,Completed,Track
351,2023-09-19 18:40:15.13656+00,Ged,0,646.3401215,TRUE,2
393,2023-09-22 15:14:55.582315+00,,,,,
415,2023-09-22 19:52:07.471789+00,test,0,59.958253,,3
372,2023-09-21 17:25:36.393272+00,Raev,2,734.104605,TRUE,2
373,2023-09-21 20:11:02.822327+00,,0,0,,3
374,2023-09-21 20:14:00.83528+00,Jaguar,,,,
375,2023-09-21 20:30:39.463081+00,Baever,,,,
392,2023-09-22 15:14:35.263941+00,Laks,0,0,,3
394,2023-09-22 15:20:01.471617+00,Egern,,,,
359,2023-09-20 14:32:22.238855+00,Baever,0,608.8481,TRUE,2
361,2023-09-21 06:27:57.896088+00,Laks,,,,
362,2023-09-21 06:56:10.57261+00,Egern,,,,
395,2023-09-22 15:20:45.241662+00,Egern,0,0,,3
369,2023-09-21 12:02:21.445368+00,,,,,
360,2023-09-20 14:39:11.157822+00,,,,,
408,2023-09-22 16:19:24.531072+00,asdasdasdasdas,,,,
416,2023-09-23 05:38:42.697812+00,Egern,,,,
382,2023-09-22 07:51:50.244748+00,Jaguar,0,94.75614104,,1
383,2023-09-22 08:20:43.55655+00,,,,,
384,2023-09-22 10:57:58.346061+00,,,,,
385,2023-09-22 11:05:45.255784+00,Egern,,,,
376,2023-09-21 20:30:52.403857+00,Baever,1,641.661541,TRUE,2
377,2023-09-21 20:44:00.721617+00,,,,,
378,2023-09-22 06:27:20.543608+00,Laks,,,,
379,2023-09-22 06:27:22.805408+00,Laks,,,,
380,2023-09-22 07:46:06.180909+00,Jaguar,,,,
386,2023-09-22 11:47:28.842514+00,Laks,,,,
387,2023-09-22 11:57:40.913278+00,Egern,,,,
363,2023-09-21 06:56:27.378404+00,Egern,0,0,,3
364,2023-09-21 07:50:45.692085+00,Laks,,,,
365,2023-09-21 07:50:46.865245+00,Laks,,,,
366,2023-09-21 09:28:41.232072+00,Jaguar,,,,
398,2023-09-22 15:44:39.121913+00,The harbinger,3,9.91804,,3
397,2023-09-22 15:23:12.179525+00,Egern,0,0,,3
399,2023-09-22 15:55:28.827365+00,Test,,,,
400,2023-09-22 15:55:48.061765+00,Test,0,0,,3
401,2023-09-22 15:56:27.639793+00,Test,,,,
402,2023-09-22 15:56:28.486154+00,Test,,,,
403,2023-09-22 15:57:39.252425+00,Test,,,,
407,2023-09-22 16:11:54.428365+00,Jaguar,0,721.1496585,TRUE,3
405,2023-09-22 16:10:29.95358+00,Test,,,,
409,2023-09-22 16:33:17.275125+00,The harbinger,,,,
410,2023-09-22 16:33:36.321314+00,asdasdasdasdas,,,,
411,2023-09-22 17:34:11.024636+00,Test,,,,
412,2023-09-22 17:34:21.120831+00,Test,0,0,,3
413,2023-09-22 17:54:10.562601+00,Laks,,,,
414,2023-09-22 19:51:55.679626+00,test,,,,
418,2023-09-23 11:23:36.788205+00,Kanin,,,,
426,2023-09-23 20:36:13.270377+00,Jaguar,0,38.78931546,,3
421,2023-09-23 12:43:43.38423+00,Jaguar,1,643.5138048,TRUE,3
419,2023-09-23 11:23:48.538308+00,Kanin,0,24.630172,,2
420,2023-09-23 12:43:22.993927+00,Jaguar,,,,
422,2023-09-23 18:59:19.774403+00,Baever,,,,
424,2023-09-23 20:34:29.221931+00,Jaguar,,,,
425,2023-09-23 20:34:50.511495+00,Jaguar,2,48.6820824,,3
427,2023-09-23 20:37:11.558914+00,Jaguar,0,37.87635858,,3
429,2023-09-23 20:38:41.583483+00,Jaguar,2,28.58108932,,3
428,2023-09-23 20:38:11.324774+00,Jaguar,,,,
430,2023-09-23 20:39:28.693509+00,Jaguar,0,16.11341083,,0
431,2023-09-24 06:04:46.137299+00,Baever,,,,
492,2023-09-30 07:45:45.9769+00,Jaguar,0,224.4196992,,2
432,2023-09-24 08:06:49.039331+00,Jaguar,0,23.7391288,,3
469,2023-09-27 18:36:46.335832+00,Egern,2,769.819977,TRUE,3
470,2023-09-28 13:07:47.872778+00,Baever,,,,
467,2023-09-27 10:08:40.051958+00,Kanin,2,679.072248,TRUE,2
468,2023-09-27 18:36:36.531998+00,Egern,,,,
447,2023-09-25 12:10:56.255942+00,Kanin,1,644.439965,TRUE,2
433,2023-09-24 08:16:48.089819+00,Jaguar,0,56.76293122,,3
434,2023-09-24 09:37:26.633513+00,Laks,,,,
435,2023-09-24 09:37:29.394321+00,Laks,,,,
476,2023-09-28 19:30:13.964019+00,Raev,2,729.376317,TRUE,3
477,2023-09-28 20:10:33.868558+00,Ged,,,,
441,2023-09-24 15:36:45.710307+00,Jaguar,0,772.5023959,TRUE,3
459,2023-09-25 19:17:44.247476+00,Ged,0,469.5323647,TRUE,3
450,2023-09-25 13:13:06.905065+00,Baever,0,719.866825,TRUE,3
451,2023-09-25 18:22:14.484442+00,Ged,,,,
438,2023-09-24 12:37:40.636798+00,Baever,3,679.970312,TRUE,2
439,2023-09-24 15:35:36.476771+00,Jaguar,,,,
440,2023-09-24 15:36:01.712753+00,Jaguar,2,0,,3
452,2023-09-25 18:22:45.977117+00,Ged,2,0,,2
453,2023-09-25 18:23:18.220292+00,Ged,,,,
